Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
19,1,12,12,0
46,3,34,34,1
-2,-1,-5,0,0
71,4,60,60,1
167,11,160,160,1
8,0,-1,0,0
1,0,-4,0,0
33,2,78,78,1
-3,-1,0,0,0
3,0,-6,0,0
1,0,5,5,0
-5,-1,-7,0,0
20,1,8,8,0
20,1,27,27,1
6,0,-8,0,0
29,1,15,15,1
-2,-1,-14,0,0
-2,-1,-10,0,0
3,0,-13,0,0
40,2,20,20,1
0,0,-18,0,0
3,0,-15,0,0
2,0,-12,0,0
24,1,20,20,1
-4,-1,-2,0,0
7,0,33,33,1
157,10,187,187,1
6,0,-2,0,0
3,0,-4,0,0
19,1,1,1,0
43,2,39,39,1
-3,-1,-4,0,0
-7,-1,-24,0,0
-6,-1,0,0,0
45,3,31,31,1
-2,-1,-7,0,0
-6,-1,-13,0,0
67,4,51,51,1
-2,-1,14,14,0
-5,-1,17,17,1
-8,-1,-3,0,0
-6,-1,-13,0,0
-3,-1,24,24,1
5,0,37,37,1
8,0,-2,0,0
-5,-1,6,6,0
1,0,-7,0,0
-10,-1,5,5,0
-6,-1,-4,0,0
-6,-1,16,16,1
15,1,8,8,0
19,1,11,11,0
0,0,35,35,1
-6,-1,15,15,1
-7,-1,23,23,1
-6,-1,42,42,1
-4,-1,1,1,0
-3,-1,13,13,0
33,2,51,51,1
-5,-1,-3,0,0
1333,12,1355,1355,1
-6,-1,-13,0,0
5,0,-4,0,0
3,0,-9,0,0
4,0,-3,0,0
0,0,-3,0,0
1,0,13,13,0
47,3,49,49,1
-3,-1,-6,0,0
-1,-1,-15,0,0
-4,-1,-14,0,0
0,0,19,19,1
1,0,13,13,0
-3,-1,5,5,0
-5,-1,-14,0,0
-3,-1,-8,0,0
-5,-1,-8,0,0
12,0,8,8,0
72,4,67,67,1
7,0,0,0,0
1,0,21,21,1
-2,-1,-8,0,0
6,0,0,0,0
1,0,-8,0,0
-8,-1,-12,0,0
-4,-1,-2,0,0
23,1,20,20,1
22,1,56,56,1
7,0,10,10,0
1,0,-1,0,0
-1,-1,7,7,0
-4,-1,3,3,0
-3,-1,-15,0,0
0,0,4,4,0
41,2,18,18,1
-3,-1,-19,0,0
9,0,-3,0,0
-6,-1,-27,0,0
0,0,-1,0,0
0,0,18,18,1
-6,-1,65,65,1
-5,-1,-7,0,0
1,0,7,7,0
7,0,-29,0,0
5,0,-33,0,0
91,6,109,109,1
13,0,18,18,1
-7,-1,-16,0,0
1,0,-1,0,0
158,10,145,145,1
243,12,206,206,1
0,0,-2,0,0
